Description	Value	Unit
Área total do terreno	70	m²
Volume de fundações	8.2404	m³
Área horizontal de fundações	13.734	m²
Área vertical de fundações	49.188	m²
Volume de estrutura de concreto	0.304	m³
Área horizontal de estrutura de concreto	0	m²
Área vertical de estutura de concreto	3.352	m²
Área vertical de parede de 14cm	162.759	m²
Área vertical de parede de gesso 7cm	44.752	m²
Comprimento de janelas	6.1	m
Comprimento de portas	3.3	m
Área de cobertura	45.14	m²
Área total de piso	38.7251	m²
Área de piso de cimento queimado	32.0946	m²
Área de piso cerâmico	8.76747	m²
Comprimento de rodapé	44.52	m
Área de jardim	21.62	m²
Área vertical de muros	20	m²
Perímetrodo terreno	38	m
Número de caixas de passagem	28
Número de interuptores	8
Número de tomadas simples	11
Número de tomadas duplas	4
Número de pontos de luz	8
Área de portas	6.93	m²
